rank,name,net_worth (in billion $),age,country / territory,source,industry
636.00,Marian Ilitch,4.3,90,United States,Little Caesars Pizza,Food & Beverage
636.00,Wang Wenjing,4.3,58,China,Business software,Technology
636.00,Andrei Kozitsyn,4.3,62,Russia,Metals,Metals & Mining
659.00,Pyotr Aven,4.2,68,Russia,"Oil, banking, telecom",Finance & Investments
659.00,Lynsi Snyder,4.2,40,United States,In-N-Out Burger,Food & Beverage
659.00,Chan Laiwa & family,4.2,82,China,Real estate,Real Estate
659.00,Djoko Susanto,4.2,73,Indonesia,Supermarkets,Fashion & Retail
659.00,Chen Hua,4.2,57,China,Real estate,Real Estate
659.00,Tahir & family,4.2,71,Indonesia,Diversified,Diversified
659.00,Michael Moritz,4.2,68,United States,Venture capital,Technology
659.00,Lin Li,4.2,59,China,Investments,Finance & Investments
659.00,Lin Bin,4.2,55,United States,Smartphones,Technology
659.00,Eric Lefkofsky,4.2,53,United States,"Groupon, investments",Technology
659.00,Marc Ladreit de Lacharriere,4.2,82,France,Finance,Finance & Investments
659.00,Min Kao & family,4.2,74,United States,Navigation equipment,Technology
659.00,Dewi Kam,4.2,72,Indonesia,Coal,Energy
659.00,"Rupert Johnson, Jr.",4.2,82,United States,Franklin Templeton,Finance & Investments
659.00,Thomas Hagen,4.2,87,United States,Insurance,Finance & Investments
659.00,Peter Thiel,4.2,55,United States,"Facebook, investments",Finance & Investments
659.00,E. Joe Shoen,4.2,73,United States,U-Haul,Automotive
659.00,Jean (Gigi) Pritzker,4.2,60,United States,"Hotels, investments",Service
659.00,Shari Arison,4.2,65,Israel,Carnival Cruises,Service
659.00,Jeff Skoll,4.2,58,United States,EBay,Technology
679.00,Mary Alice Dorrance Malone,4.1,73,United States,Campbell Soup,Food & Beverage
679.00,Joao Moreira Salles,4.1,61,Brazil,"Banking, minerals",Diversified
679.00,Walther Moreira Salles Junior,4.1,66,Brazil,"Banking, minerals",Finance & Investments
679.00,Antti Herlin,4.1,66,Finland,"Elevators, escalators",Manufacturing
679.00,Luca Garavoglia,4.1,54,Italy,Spirits,Food & Beverage
679.00,Scott Cook,4.1,70,United States,Software,Technology
679.00,John Catsimatidis,4.1,74,United States,"Oil, real estate",Energy
679.00,Liangzhi Xie & family,4.1,57,China,Biotech,Healthcare
679.00,Nick Caporella,4.1,87,United States,Beverages,Food & Beverage
679.00,Ken Xie,4.1,60,United States,Cybersecurity,Technology
679.00,Hubert Burda,4.1,83,Germany,Publishing,Media & Entertainment
679.00,Kerry Stokes,4.1,82,Australia,"Construction equipment, media",Diversified
679.00,Danielle Bellon & family,4.1,83,France,Food services,Service
679.00,Donald Sterling,4.1,88,United States,Real estate,Real Estate
679.00,Andrej Babis,4.1,68,Czech Republic,Agriculture,Food & Beverage
679.00,Peter Spuhler,4.1,63,Switzerland,Train cars,Manufacturing
679.00,Arturo Moreno,4.1,76,United States,"Billboards, Los Angeles Angels",Sports
679.00,"Jeremy Jacobs, Sr. & family",4.1,83,United States,Food service,Service
679.00,Hong Jie,4.1,55,China,Paint,Manufacturing
679.00,Igor Kesaev,4.1,56,Russia,"Tobacco distribution, retail",Fashion & Retail
699.00,Travis Kalanick,4,46,United States,Uber,Technology
699.00,Zhang Daocai,4,73,China,Valves,Diversified
699.00,Koon Poh Keong,4,61,Malaysia,Aluminum,Manufacturing
699.00,Dan Kurzius,4,51,United States,Email marketing,Technology
699.00,Elisabeth DeLuca & family,4,75,United States,Subway,Food & Beverage
699.00,Steven Spielberg,4,76,United States,Movies,Media & Entertainment
699.00,Ben Chestnut,4,48,United States,Email marketing,Technology
699.00,Shaul Shani,4,68,Israel,Telecom,Telecom
699.00,Sid Bass,4,80,United States,"Oil, investments",Energy
699.00,"Bernard Saul, II.",4,90,United States,"Banking, real estate",Finance & Investments
699.00,Isaac Perlmutter,4,80,United States,Marvel comics,Media & Entertainment
699.00,Rakesh Mittal,4,67,India,Telecom,Telecom
699.00,Rajan Mittal,4,63,India,Telecom,Telecom
699.00,Gail Miller,4,79,United States,Car dealerships,Automotive
699.00,Tobi Lutke,4,42,Canada,E-commerce,Technology
699.00,Paul Lee,4,65,United States,Battery separators,Manufacturing
699.00,Vinod Rai Gupta,4,77,India,Electrical equipment,Manufacturing
699.00,Torbjorn Tornqvist,4,69,Sweden,Oil trading,Energy
699.00,Guangchang Guo,4,56,China,Conglomerate,Diversified
699.00,Jerzy Starak,4,75,Poland,Pharmaceuticals,Healthcare
699.00,John Henry,4,73,United States,Sports,Sports
699.00,Rufino Vigil Gonzalez,4,74,Mexico,Steel,Metals & Mining
721.00,Fernando Roberto Moreira Salles,3.9,76,Brazil,"Banking, minerals",Diversified
721.00,Juergen Blickle,3.9,76,Germany,Auto parts,Manufacturing
721.00,Pedro Moreira Salles,3.9,63,Brazil,"Banking, minerals",Diversified
721.00,"Austen Cargill, II.",3.9,72,United States,Cargill,Food & Beverage
721.00,Gabe Newell,3.9,60,United States,Videogames,Gambling & Casinos
721.00,James Irsay,3.9,63,United States,Indianapolis Colts,Sports
721.00,Yu Renrong,3.9,57,China,Semiconductors,Manufacturing
721.00,W. Herbert Hunt,3.9,94,United States,Oil,Energy
721.00,Wu Yiling,3.9,73,China,Pharmaceuticals,Healthcare
721.00,Guenther Fielmann & family,3.9,83,Germany,Optometry,Healthcare
721.00,Nusli Wadia,3.9,79,India,Consumer goods,Food & Beverage
721.00,Giuseppe De'Longhi & family,3.9,83,Italy,Coffee makers,Fashion & Retail
721.00,Tsai Hong-tu,3.9,70,Taiwan,Finance,Finance & Investments
721.00,Kenneth Dart,3.9,67,Belize,Investments,Finance & Investments
721.00,Mark Stevens,3.9,63,United States,Venture capital,Finance & Investments
721.00,Mong-Koo Chung,3.9,85,South Korea,Hyundai,Automotive
721.00,Ruan Hongliang & family,3.9,62,China,Glass,Manufacturing
721.00,Dongsheng Chen,3.9,65,China,Insurance,Finance & Investments
721.00,Julia Oetker,3.9,44,Germany,Consumer goods,Fashion & Retail
721.00,Vanich Chaiyawan,3.9,91,Thailand,"Insurance, beverages",Finance & Investments
721.00,Carl Ferdinand Oetker,3.9,50,Germany,Consumer goods,Fashion & Retail
721.00,"James Cargill, II.",3.9,73,United States,Cargill,Food & Beverage
721.00,Alfred Oetker,3.9,56,Germany,Consumer goods,Fashion & Retail
721.00,Marianne Liebmann,3.9,69,United States,Cargill,Food & Beverage
721.00,Somurai Jaruphnit,3.9,N/A,Thailand,Diversified,Diversified
721.00,Zhu Baoguo & family,3.9,60,China,Pharmaceuticals,Healthcare
721.00,Jorge Moll Filho & family,3.9,78,Brazil,Hospitals,Healthcare
748.00,Barry Diller,3.8,81,United States,Online media,Media & Entertainment
748.00,Richard Uihlein,3.8,77,United States,Packaging materials,Manufacturing
748.00,Wesley Edens,3.8,61,United States,Investments,Finance & Investments
748.00,Stephen Feinberg,3.8,63,United States,Private equity,Finance & Investments
748.00,Su Qingcan,3.8,54,China,Healthcare,Healthcare
748.00,Yasumitsu Shigeta,3.8,58,Japan,Mobile phone retailer,Telecom
748.00,Trevor Rees-Jones,3.8,71,United States,Oil & gas,Energy
748.00,Chandru Raheja,3.8,82,India,Real estate,Real Estate
748.00,"H. Ross Perot, Jr.",3.8,64,United States,Real estate,Real Estate
748.00,Li Xiang,3.8,41,China,Electric vehicles,Automotive
748.00,Martha Ingram & family,3.8,87,United States,"Book distribution, transportation",Media & Entertainment
748.00,Joseph Grendys,3.8,61,United States,Poultry processing,Food & Beverage
748.00,Rakesh Gangwal,3.8,69,United States,Airline,Service
748.00,Rahul Bhatia,3.8,63,India,Aviation,Service
748.00,Steven Udvar-Hazy,3.8,77,United States,Aircraft leasing,Service
748.00,Tsai Cheng-ta,3.8,73,Taiwan,Finance,Finance & Investments
748.00,Francesco Gaetano Caltagirone,3.8,80,Italy,"Cement, diversified",Construction & Engineering
748.00,Elizabeth Uihlein,3.8,77,United States,Packaging materials,Manufacturing
766.00,Horst Paulmann & family,3.7,88,Chile,Retail,Fashion & Retail
766.00,Hayes Barnard,3.7,51,United States,Fintech,Finance & Investments
766.00,Anthony Pritzker,3.7,62,United States,"Hotels, investments",Service
766.00,William Berkley,3.7,76,United States,Insurance,Finance & Investments
766.00,John Sall,3.7,75,United States,Software,Technology
766.00,Mikhail Lomtadze,3.7,47,Georgia,Fintech,Finance & Investments
766.00,Richard LeFrak & family,3.7,77,United States,Real estate,Real Estate
766.00,Jim Kavanaugh,3.7,60,United States,IT provider,Technology
766.00,Jason Jiang,3.7,50,China,Advertising,Media & Entertainment
766.00,Ji Qi,3.7,56,China,"Hotels, motels",Real Estate
766.00,Brad Jacobs,3.7,66,United States,Logistics,Logistics
766.00,Wang Yanqing & family,3.7,56,China,Electrical equipment,Manufacturing
766.00,Huang Li,3.7,59,China,Imaging systems,Technology
766.00,Yitzhak Tshuva,3.7,74,Israel,Real estate,Real Estate
766.00,Yakir Gabay,3.7,56,Cyprus,Real estate,Real Estate
766.00,Richard Schulze,3.7,82,United States,Best Buy,Fashion & Retail
766.00,Charles Cohen,3.7,71,United States,Real estate,Real Estate
766.00,Howard Schultz,3.7,69,United States,Starbucks,Food & Beverage
766.00,Shigenobu Nagamori,3.7,78,Japan,Motors,Manufacturing
766.00,Tom Morris,3.7,68,United Kingdom,Retail,Fashion & Retail
766.00,Daniel Och,3.7,62,United States,Hedge funds,Finance & Investments
787.00,Pansy Ho,3.6,60,Hong Kong,Casinos,Gambling & Casinos
787.00,Samuel Tak Lee,3.6,83,Hong Kong,Real estate,Real Estate
787.00,Alan Howard,3.6,59,United Kingdom,Hedge funds,Finance & Investments
787.00,Edwin Leong,3.6,71,Hong Kong,Real estate,Real Estate
787.00,Zeng Fangqin,3.6,57,China,Smartphone components,Technology
787.00,Huang Yi,3.6,61,Hong Kong,Car dealerships,Automotive
787.00,"Stephen Mandel, Jr.",3.6,67,United States,Hedge funds,Finance & Investments
787.00,Zhang Jian,3.6,54,China,"Electric bikes, scooters",Manufacturing
787.00,Nicolas D'Ieteren,3.6,47,Belgium,"Auto parts, distribution",Automotive
787.00,Lawrence Stroll,3.6,63,Canada,Fashion investments,Fashion & Retail
787.00,Jim Coulter,3.6,63,United States,Private equity,Finance & Investments
787.00,Jerry Speyer,3.6,82,United States,Real estate,Real Estate
787.00,Leonid Boguslavsky,3.6,71,Canada,Venture capital,Finance & Investments
787.00,Juan Roig,3.6,73,Spain,Supermarkets,Fashion & Retail
787.00,Sanjiv Bajaj,3.6,53,India,Diversified,Diversified
787.00,J.B. Pritzker,3.6,58,United States,"Hotels, investments",Finance & Investments
787.00,Rajiv Bajaj,3.6,56,India,Diversified,Diversified
787.00,Melanie Perkins,3.6,35,Australia,Software,Technology
787.00,Cliff Obrecht,3.6,37,Australia,Software,Technology
787.00,Josh Kushner,3.6,37,United States,Venture capital,Finance & Investments
787.00,Masahiro Noda,3.6,84,Japan,Software,Technology
787.00,Vyacheslav Kim,3.6,53,Kazakhstan,Fintech,Finance & Investments
787.00,Masahiro Miki,3.6,67,Japan,Shoes,Fashion & Retail
787.00,Peter Kellogg,3.6,80,United States,Investments,Finance & Investments
787.00,Mohamed Mansour,3.6,75,Egypt,Diversified,Diversified
787.00,Bob Gaglardi,3.6,82,Canada,Hotels,Real Estate
787.00,Wang Junlin,3.6,60,China,Liquor,Food & Beverage
787.00,Beatriz Davila de Santo Domingo,3.6,84,Colombia,Beer,Food & Beverage
787.00,Tung Chee Chen,3.6,80,Hong Kong,Shipping,Logistics
787.00,Jaime Gilinski Bacal,3.6,65,Colombia,Banking,Finance & Investments
787.00,Xia Zuoquan,3.6,61,China,"Automobiles, batteries",Automotive
818.00,Fan Daidi,3.5,57,China,Skincare,Fashion & Retail
818.00,Thomas Siebel,3.5,70,United States,Business software,Technology
818.00,Peter Gassner,3.5,58,United States,Software,Technology
818.00,Wim van der Leegte & family,3.5,75,Netherlands,Manufacturing,Manufacturing
818.00,Mikhail Gutseriev,3.5,65,Russia,"Oil, coal, real estate",Energy
818.00,Xiao Yongming & family,3.5,58,China,Fertilizer,Diversified
818.00,Luca Del Vecchio,3.5,21,Italy,Eyeglasses,Fashion & Retail
818.00,Remo Ruffini,3.5,61,Italy,Winter jackets,Fashion & Retail
818.00,Leonardo Maria Del Vecchio,3.5,27,Italy,Eyeglasses,Fashion & Retail
818.00,Arkady Rotenberg,3.5,71,Russia,"Construction, pipes, banking",Construction & Engineering
818.00,Clemente Del Vecchio,3.5,18,Italy,Eyeglases,Fashion & Retail
818.00,Dirk Rossmann & family,3.5,76,Germany,Drugstores,Fashion & Retail
818.00,Claudio Del Vecchio,3.5,66,Italy,Eyeglasses,Fashion & Retail
818.00,Ira Rennert,3.5,88,United States,Investments,Finance & Investments
818.00,Daniel D'Aniello,3.5,76,United States,Private equity,Finance & Investments
818.00,Prasert Prasarttong-Osoth,3.5,90,Thailand,Hospitals,Healthcare
818.00,Giuseppe Crippa & family,3.5,87,Italy,Microchip testing,Manufacturing
818.00,Margarita Louis-Dreyfus & family,3.5,60,Switzerland,Commodities,Food & Beverage
818.00,Barry Zekelman,3.5,56,Canada,Steel,Manufacturing
818.00,Fashu Chen,3.5,62,China,Investments,Finance & Investments
818.00,Daniel Loeb,3.5,61,United States,Hedge funds,Finance & Investments
818.00,Nicoletta Zampillo,3.5,65,Italy,Eyeglasses,Fashion & Retail
818.00,Maurizio Billi,3.5,65,Brazil,Generic drugs,Healthcare
818.00,Leng Youbin,3.5,54,China,Infant formula,Food & Beverage
818.00,Yang Shaopeng,3.5,65,China,Shipping,Logistics
818.00,Rocco Basilico,3.5,33,Italy,Eyeglasses,Fashion & Retail
818.00,Patrick Lee,3.5,81,Hong Kong,Paper,Manufacturing
818.00,Michael Xie,3.5,54,United States,Cybersecurity,Technology
818.00,Paola Del Vecchio,3.5,61,Italy,Eyeglasses,Fashion & Retail
818.00,Vivek Chaand Sehgal,3.5,66,Australia,Auto parts,Automotive
818.00,Marisa Del Vecchio,3.5,64,Italy,Eyeglasses,Fashion & Retail
818.00,Karin Sartorius-Herbst,3.5,N/A,Germany,Biopharmaceuticals,Healthcare
818.00,Walter P.J. Droege,3.5,70,Germany,Investing,Finance & Investments
818.00,Scott Shleifer,3.5,45,United States,Private equity,Finance & Investments
852.00,Alessandra Garavoglia,3.4,63,Italy,Spirits,Food & Beverage
852.00,Yi Zheng,3.4,52,China,Software,Technology
852.00,Laurence Graff & family,3.4,84,United Kingdom,Diamond jewelry,Fashion & Retail
852.00,Eric Yuan & family,3.4,53,United States,Zoom Video Communications,Technology
852.00,"Amos Hostetter, Jr.",3.4,86,United States,Cable television,Media & Entertainment
852.00,Charles Zegar,3.4,75,United States,Bloomberg LP,Media & Entertainment
852.00,Acharya Balkrishna,3.4,50,India,Consumer goods,Food & Beverage
852.00,Leena Tewari,3.4,65,India,Pharmaceuticals,Healthcare
852.00,Ramon Ang,3.4,69,Philippines,Diversified,Food & Beverage
852.00,Herb Simon,3.4,88,United States,Real estate,Real Estate
852.00,Igor Altushkin,3.4,52,Russia,Metals,Metals & Mining
852.00,J. Joe Ricketts & family,3.4,81,United States,TD Ameritrade,Finance & Investments
852.00,Somphote Ahunai,3.4,55,Thailand,Renewable energy,Energy
852.00,Bob Parsons,3.4,72,United States,Web hosting,Technology
852.00,William Ackman,3.4,56,United States,Hedge funds,Finance & Investments
852.00,Hiroshi Mikitani,3.4,58,Japan,Online retail,Fashion & Retail
852.00,John Middleton,3.4,68,United States,Tobacco,Food & Beverage
852.00,William Lauder,3.4,62,United States,Estee Lauder,Fashion & Retail
852.00,Steven Klinsky,3.4,66,United States,Investments,Finance & Investments
852.00,"Robert ""Woody"" Johnson",3.4,75,United States,"Johnson & Johnson, sports",Sports
852.00,Richard Branson,3.4,72,United Kingdom,Virgin,Diversified
852.00,Hans Peter Wild,3.4,81,Switzerland,Flavorings,Food & Beverage
852.00,Markus Blocher,3.4,52,Switzerland,Chemicals,Manufacturing
852.00,Stefan von Holtzbrinck,3.4,59,Germany,Publishing,Media & Entertainment
852.00,Cho Jung-ho,3.4,64,South Korea,Finance,Finance & Investments
852.00,Wu Guanjiang & family,3.4,54,China,Pharmaceuticals,Healthcare
878.00,Arnon Milchan,3.3,78,Israel,Movie making,Media & Entertainment
878.00,Akio Nitori,3.3,79,Japan,Home furnishings,Fashion & Retail
878.00,Julio Ponce Lerou,3.3,77,Chile,Fertilizer,Metals & Mining
878.00,John Gandel,3.3,88,Australia,Shopping malls,Real Estate
878.00,Carl Thoma,3.3,74,United States,Investments,Finance & Investments
878.00,Fu Liquan & family,3.3,55,China,Surveillance equipment,Technology
878.00,Jeffrey Talpins,3.3,48,United States,Hedge fund,Finance & Investments
878.00,Walter Frey,3.3,79,Switzerland,Car dealerships,Automotive
878.00,Nik Storonsky,3.3,38,United Kingdom,Fintech,Finance & Investments
878.00,Walter Faria,3.3,68,Brazil,Beer,Food & Beverage
878.00,Stephen Smith,3.3,71,Canada,Finance and investments,Finance & Investments
878.00,Bennett Dorrance,3.3,77,United States,Campbell Soup,Food & Beverage
878.00,Gil Shwed,3.3,54,Israel,Software,Technology
878.00,Chen Shibin,3.3,56,China,Quartz products,Manufacturing
878.00,Neil Shen,3.3,55,Hong Kong,Venture capital,Finance & Investments
878.00,Bill Austin,3.3,81,United States,Hearing aids,Manufacturing
878.00,Naguib Sawiris,3.3,68,Egypt,Telecom,Telecom
878.00,John Arnold,3.3,49,United States,Hedge funds,Finance & Investments
878.00,Phil Ruffin,3.3,88,United States,"Casinos, real estate",Diversified
878.00,Mohed Altrad,3.3,75,France,"Scaffolding, cement mixers",Construction & Engineering
878.00,Rodger Riney & family,3.3,77,United States,Discount brokerage,Finance & Investments
878.00,Kwek Leng Beng,3.3,82,Singapore,Diversified,Diversified
878.00,Xue Hua,3.3,53,China,Agribusiness,Manufacturing
878.00,Peter Gilgan,3.3,72,Canada,Homebuilding,Construction & Engineering
878.00,Todd Wanek,3.3,59,United States,Furniture,Manufacturing
878.00,Pablo Legorreta,3.3,59,United States,Investments,Finance & Investments
878.00,Takao Yasuda,3.3,73,Japan,Retail,Fashion & Retail
905.00,Karen Virginia Beckmann Legoretta,3.2,53,Mexico,Tequila,Food & Beverage
905.00,Luciano Hang,3.2,60,Brazil,Department stores,Fashion & Retail
905.00,Klaus-Peter Schulenberg,3.2,71,Germany,Ticketing service,Service
905.00,Giuliana Benetton,3.2,85,Italy,"Fashion retail, investments",Fashion & Retail
905.00,Michael Hintze,3.2,69,Australia,Investment,Finance & Investments
905.00,Lynn Schusterman,3.2,84,United States,"Oil & gas, investments",Energy
905.00,Luciano Benetton,3.2,87,Italy,"Fashion retail, investments",Fashion & Retail
905.00,Hu Baifan,3.2,60,China,Pharmaceuticals,Healthcare
905.00,Isabella Seràgnoli,3.2,77,Italy,Packaging,Manufacturing
905.00,David Filo,3.2,56,United States,Yahoo,Technology
905.00,Roger Penske,3.2,86,United States,Cars,Automotive
905.00,Steve Wynn,3.2,81,United States,"Casinos, hotels",Gambling & Casinos
905.00,Charles Ergen,3.2,70,United States,Satellite TV,Media & Entertainment
905.00,Geoffrey Palmer,3.2,72,United States,Real estate,Real Estate
905.00,Wu Shaoxun,3.2,67,China,Wine,Food & Beverage
905.00,Dong Jinggui,3.2,53,China,Electric scooters,Automotive
905.00,Aristotelis Mistakidis,3.2,61,Greece,"Mining, commodities",Metals & Mining
905.00,Vincent Viola,3.2,67,United States,Electronic trading,Finance & Investments
905.00,Gustavo Denegri & family,3.2,86,Italy,Biotech,Healthcare
905.00,Sudhir Mehta,3.2,68,India,"Pharmaceuticals, power",Healthcare
905.00,Udo Tschira,3.2,53,Germany,Software,Technology
905.00,Antonio Del Valle Ruiz & family,3.2,84,Mexico,Chemicals,Manufacturing
905.00,Samir Mehta,3.2,59,India,"Pharmaceuticals, power",Healthcare
905.00,Harald Tschira,3.2,48,Germany,Software,Technology
905.00,Brunello Cucinelli & family,3.2,69,Italy,Fashion,Fashion & Retail
905.00,Liang Feng,3.2,54,China,Manufacturing,Manufacturing
905.00,Roman Trotsenko,3.2,52,Russia,"Transport, engineering, real estate",Logistics
905.00,Chen Kaixuan,3.2,64,China,Household chemicals,Manufacturing
905.00,Li Liangbin,3.2,55,China,Lithium,Manufacturing
905.00,Pat Stryker,3.2,66,United States,Medical equipment,Healthcare
905.00,Ron Burkle,3.2,70,United States,"Supermarkets, investments",Finance & Investments
905.00,Lee Boo-jin,3.2,52,South Korea,Samsung,Technology
905.00,Warren Stephens,3.2,66,United States,Investment banking,Finance & Investments
905.00,Arun Bharat Ram,3.2,82,India,Chemicals,Manufacturing
905.00,Hamilton James & family,3.2,71,United States,Investments,Finance & Investments
905.00,Shen Guojun,3.2,60,China,Retail,Fashion & Retail
905.00,Sergei Galitsky,3.2,55,Russia,Retail,Fashion & Retail
905.00,David Rubenstein,3.2,73,United States,Private equity,Finance & Investments
905.00,Zhou Bajin,3.2,87,China,Auto parts,Manufacturing
905.00,Lindsay Fox,3.2,85,Australia,"Logistics, real estate",Logistics
905.00,Ravi Pillai,3.2,69,India,Construction,Construction & Engineering
905.00,Jon Yarbrough,3.2,65,United States,Video games,Gambling & Casinos
905.00,Senapathy Gopalakrishnan,3.2,67,India,Software services,Technology
905.00,Hilton Schlosberg,3.2,70,United Kingdom,Energy drinks,Food & Beverage
949.00,John Coates,3.1,53,United Kingdom,Online gambling,Gambling & Casinos
949.00,Yin Yee Lee,3.1,71,China,Glass,Manufacturing
949.00,Frank VanderSloot,3.1,74,United States,"Nutrition, wellness products",Fashion & Retail
949.00,Ryan Cohen,3.1,37,Canada,Investments,Finance & Investments
949.00,Vladimir Litvinenko & family,3.1,67,Russia,Chemical industry,Manufacturing
949.00,Yoo Jung-hyun,3.1,53,South Korea,Online games,Media & Entertainment
949.00,Deng Wen,3.1,55,China,Flavorings,Food & Beverage
949.00,Daniel Mate,3.1,59,Spain,"Mining, commodities",Metals & Mining
949.00,Miguel Krigsner,3.1,73,Brazil,Cosmetics,Fashion & Retail
949.00,Renzo Rosso & family,3.1,67,Italy,Fashion,Fashion & Retail
949.00,Bertil Hult,3.1,82,Sweden,Education,Service
949.00,Theodore Rachmat,3.1,79,Indonesia,Diversified,Diversified
949.00,Reed Hastings,3.1,62,United States,Netflix,Technology
949.00,Penny Pritzker,3.1,63,United States,"Hotels, investments",Finance & Investments
949.00,Jeff T. Green,3.1,46,United States,Digital advertising,Media & Entertainment
949.00,Sergei Popov,3.1,51,Russia,Banking,Finance & Investments
949.00,Sergei Gordeev,3.1,50,Russia,Real estate,Real Estate
949.00,Katharina Otto-Bernstein,3.1,59,Germany,Real estate,Real Estate
949.00,Charles Edelstenne,3.1,85,France,Aviation,Manufacturing
949.00,Or Wai Sheun,3.1,71,Hong Kong,Real estate,Real Estate
949.00,Martin Ebner,3.1,77,Switzerland,Investments,Finance & Investments
949.00,Jonathan Nelson,3.1,66,United States,Private equity,Finance & Investments
949.00,Kuldip Singh Dhingra,3.1,75,India,Paints,Manufacturing
949.00,Farhad Moshiri,3.1,67,United Kingdom,Diversified,Diversified
949.00,Gurbachan Singh Dhingra,3.1,72,India,Paints,Manufacturing
949.00,Ravi Modi,3.1,46,India,Readymade garments,Fashion & Retail
949.00,Aerin Lauder,3.1,52,United States,Estee Lauder,Fashion & Retail
949.00,Rita Tong Liu,3.1,74,Hong Kong,Real estate,Real Estate
949.00,Kuok Khoon Hong,3.1,73,Singapore,Palm oil,Manufacturing
949.00,Friede Springer,3.1,80,Germany,Publishing,Media & Entertainment
949.00,Cho Tak Wong,3.1,76,Hong Kong,Auto parts,Manufacturing
949.00,Sheldon Lavin,3.1,90,United States,Meat processing,Food & Beverage
949.00,Timur Turlov,3.1,35,Kazakhstan,Stock brokerage,Finance & Investments
982.00,Catheline Perier D'Ieteren,3,78,Belgium,"Auto parts, distribution",Automotive
982.00,Carlos Hank Rhon,3,75,Mexico,Banking,Diversified
982.00,"Edward DeBartolo, Jr.",3,76,United States,Shopping centers,Real Estate
982.00,Susan Carol Holland,3,66,Italy,Hearing aids,Manufacturing
982.00,Robert Sands,3,64,United States,Liquor,Food & Beverage
982.00,Abdulla bin Ahmad Al Ghurair & family,3,N/A,United Arab Emirates,Diversified,Diversified
982.00,Stephen Deckoff,3,57,United States,Private equity,Finance & Investments
982.00,Hui Ka Yan,3,64,China,Real estate,Real Estate
982.00,Erik Selin,3,55,Sweden,Real estate,Real Estate
982.00,Todd Christopher,3,60,United States,Hair care products,Fashion & Retail
982.00,John Paulson,3,67,United States,Hedge funds,Finance & Investments
982.00,Zhu Gongshan & family,3,65,China,Solar panel materials,Manufacturing
982.00,Chan Tan Ching-fen,3,N/A,Hong Kong,Real estate,Real Estate
982.00,Maja Oeri,3,68,Switzerland,Pharmaceuticals,Healthcare
982.00,Lei Zhang,3,50,China,Investments,Finance & Investments
982.00,Jean-Pierre Cayard,3,80,France,Spirits,Food & Beverage
982.00,Gilles Martin,3,59,France,Laboratory services,Healthcare
982.00,Ye Xiaoping,3,60,China,Pharmaceuticals,Healthcare
982.00,Cai Dongchen,3,70,China,Pharmaceuticals,Healthcare
982.00,Harsh Mariwala,3,71,India,Consumer goods,Food & Beverage
982.00,Gang Ye,3,42,Singapore,Gaming,Media & Entertainment
982.00,Eva Maria Bucher-Haefner,3,66,Switzerland,"Software, investments",Technology
982.00,Lin Xiucheng & family,3,67,China,Electronics,Technology
982.00,Sunny Varkey,3,65,India,Education,Service
982.00,Norman Braman,3,90,United States,"Art, car dealerships",Automotive
982.00,Lin Ming-hsiung,3,73,Taiwan,Supermarkets,Fashion & Retail
982.00,Sukanto Tanoto,3,73,Indonesia,Diversified,Diversified
982.00,George Bishop,3,85,United States,Oil & gas,Energy
982.00,Sam Goi,3,76,Singapore,Frozen foods,Food & Beverage
982.00,Egor Kulkov,3,51,Russia,Pharmaceuticals,Healthcare
982.00,Guangxin Sun,3,60,China,Diversified,Diversified
982.00,Nicolas Berggruen,3,61,United States,"Real estate, investments",Real Estate
982.00,"Ernest Garcia, II.",3,65,United States,Used cars,Automotive
982.00,Friedrich Knapp,3,71,Germany,Fashion retail,Fashion & Retail
982.00,Martua Sitorus,3,63,Indonesia,Palm oil,Manufacturing
982.00,Semahat Sevim Arsel,3,94,Turkey,Diversified,Diversified
982.00,Feng Hailiang,3,62,China,"Copper, education",Metals & Mining
982.00,Vivek Jain,3,67,India,Chemicals,Manufacturing
982.00,Yonghong Shi & family,3,54,China,Restaurants,Food & Beverage
982.00,"William Conway, Jr.",3,73,United States,Private equity,Finance & Investments
982.00,Guanghe Qiu & family,3,71,China,Fashion retail,Fashion & Retail
982.00,Mang Yee Chu & family,3,63,China,Real estate,Real Estate
982.00,Ajay Piramal,3,67,India,Pharmaceuticals,Healthcare
982.00,Jean Coutu & family,3,95,Canada,Drugstores,Fashion & Retail
982.00,Stephen Rubin,3,86,United Kingdom,Sports apparel,Fashion & Retail
1027.00,"Roy Carroll, II.",2.9,60,United States,Real estate,Real Estate
1027.00,Li Jianquan & family,2.9,66,Hong Kong,Consumer products,Healthcare
1027.00,Rodney Sacks,2.9,73,United States,Energy drinks,Food & Beverage
1027.00,John Caudwell,2.9,70,United Kingdom,Mobile phones,Telecom
1027.00,Li Li,2.9,57,China,Healthcare,Healthcare
1027.00,Karthik Sarma,2.9,48,India,Hedge fund,Finance & Investments
1027.00,James Clark,2.9,79,United States,"Netscape, investments",Technology
1027.00,Li Xiaohua & family,2.9,61,China,Packaging,Manufacturing
1027.00,Sybill Storz,2.9,85,Germany,Medical devices,Healthcare
1027.00,Donald Horton & family,2.9,73,United States,Homebuilding,Real Estate
1027.00,Sebastian Piñera & family,2.9,73,Chile,Investments,Finance & Investments
1027.00,Gudrun Heine,2.9,68,Germany,Medical devices,Healthcare
